P_id,Proof,P_name,P_type,P_raw,S_id,S_name,S_cui_entrezid,S_SMTY,S_raw,O_id,O_name,O_cui_entrezid,O_SMTY,O_raw
D10374394.P7,"H-ras expression was        positive in 29.3% of HCC, which was associated with recurrence and extrahepatic       metastasis of HCC.",MANIFESTATION_OF,NOM,expression ,D10374394.E43,Secondary Neoplasm,C2939419,neop,metastasis,D10374394.E44,Liver carcinoma,C2239176,neop,HCC
D10374394.P8,Intralesional injection of H-ras antisense gene markedly       inhibited the tumor growth and metastasis of HCC in nude mice.,DISRUPTS,VERB,inhibited ,D10374394.E46,HRAS gene,3265,gngm,H-ras antisense gene,D10374394.E48,tumor growth,C0598934,neop,tumor growth
D10374394.P9,Intralesional injection of H-ras antisense gene markedly       inhibited the tumor growth and metastasis of HCC in nude mice.,DISRUPTS,VERB,inhibited ,D10374394.E46,HRAS gene,3265,gngm,H-ras antisense gene,D10374394.E49,Secondary Neoplasm,C2939419,neop,metastasis
D10374394.P10,Intralesional injection of H-ras antisense gene markedly       inhibited the tumor growth and metastasis of HCC in nude mice.,PROCESS_OF,PREP,in ,D10374394.E50,Liver carcinoma,C2239176,neop,HCC,D10374394.E51,"Mice, Nude",C0025932,mamm,nude mice
D10374394.P11,"The expression of       EGFR was closely related to TGF-alpha, which was related to HCC recurrence.",COEXISTS_WITH,VERB,related ,D10374394.E57,Epidermal Growth Factor Receptor,1956,aapp,EGFR,D10374394.E58,Transforming Growth Factor alpha,C0040688,gngm,TGF-alpha
D10374394.P12,"The expression of       EGFR was closely related to TGF-alpha, which was related to HCC recurrence.",ASSOCIATED_WITH,VERB,related ,D10374394.E58,Transforming Growth Factor alpha,C0040688,aapp,TGF-alpha,D10374394.E60,Recurrent Malignant Neoplasm,C1458156,neop,recurrence
D10374394.P13,"Expression of nm23/tissue inhibitor of metalloproteinase (TIMP)-2 was positively        associated with the prognosis of HCC patients (Log-rank, P < 0.001).",PROCESS_OF,MOD_HEAD,HCC patients ,D10374394.E71,Liver carcinoma,C2239176,neop,HCC,D10374394.E72,Patients,C0030705,humn,patients
D10374394.P14,"The       alterative rates of above-mentioned genes and growth factors in small HCC were       slightly lower than that in large ones, but no significant difference was shown       except the p53 mutation.",ASSOCIATED_WITH,PREP,in ,D10374394.E77,Growth Factor,C0018284,aapp,growth factors,D10374394.E79,Liver carcinoma,C2239176,neop,HCC
D10374394.P15,"CONCLUSIONS: The p53/CDKN2 mutation, over-expression of        H-ras/EGFR, were associated with the invasiveness and recurrence of HCC.",MANIFESTATION_OF,NOM,expression ,D10374394.E95,Recurrent Malignant Neoplasm,C1458156,neop,recurrence,D10374394.E96,Liver carcinoma,C2239176,neop,HCC
D10374394.P16,H-ras       antisense gene might be of potential implication in the control of HCC recurrence       and metastasis.,TREATS,NOM,control ,D10374394.E97,HRAS gene,3265,aapp,H-ras       antisense gene,D10374394.E100,Recurrent Malignant Neoplasm,C1458156,neop,recurrence
D10374394.P17,H-ras       antisense gene might be of potential implication in the control of HCC recurrence       and metastasis.,TREATS,NOM,control ,D10374394.E97,HRAS gene,3265,aapp,H-ras       antisense gene,D10374394.E101,Secondary Neoplasm,C2939419,neop,metastasis
D10374394.P18,Expression of nm23/TIMP-2 was closely related to the prognosis of       HCC patients.,PROCESS_OF,MOD_HEAD,HCC patients.,D10374394.E105,Liver carcinoma,C2239176,neop,HCC,D10374394.E106,Patients,C0030705,humn,patients
D10381126.P1,APC gene mutations have been demonstrated not only in colorectal carcinoma but       also in a variety of human cancers.,PROCESS_OF,MOD_HEAD,human cancers.,D10381126.E15,Malignant Neoplasms,C0006826,neop,cancers,D10381126.E14,Homo sapiens,C0086418,humn,human
D10381126.P2,"To define the possible role of mutations of       the APC gene in hepatocarcinogenesis, we examined 46 pairs of hepatocellular       carcinomas and corresponding non-tumorous liver tissue by polymerase chain       reaction and single strand conformation polymorphism.",ASSOCIATED_WITH,NOM,role ,D10381126.E18,APC gene,324,gngm,APC gene,D10381126.E19,Hepatocarcinogenesis,C1512409,neop,hepatocarcinogenesis
D10381126.P3,We also examined the possible loss        of heterozygosity of APC and MCC gene loci by fragment length polymorphism       analysis and by polymerase chain reaction.,METHOD_OF,PREP,by ,D10381126.E44,Polymerase Chain Reaction,C0032520,mbrt,polymerase chain reaction,D10381126.E43,polymorphism analysis,C0796451,diap,polymorphism       analysis
D10381126.P4,The results suggested that the       possibility of APC and MCC as the gene defect in the genesis of human       hepatocellular carcinoma may be very rare.,PROCESS_OF,MOD_HEAD,human       hepatocellular carcinoma ,D10381126.E58,Liver carcinoma,C2239176,neop,hepatocellular carcinoma,D10381126.E57,Homo sapiens,C0086418,humn,human
D10381126.P5,The results suggested that the       possibility of APC and MCC as the gene defect in the genesis of human       hepatocellular carcinoma may be very rare.,CAUSES,NOM,genesis ,D10381126.E54,,4163,gngm,MCC,D10381126.E58,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10381126.P6,The results suggested that the       possibility of APC and MCC as the gene defect in the genesis of human       hepatocellular carcinoma may be very rare.,CAUSES,NOM,genesis ,D10381126.E53,PROC wt Allele,324,gngm,APC,D10381126.E58,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10381922.P1,p53 mutations in british patients with hepatocellular carcinoma: clustering in       genetic hemochromatosis.,PROCESS_OF,PREP,with ,D10381922.E5,Liver carcinoma,C2239176,neop,hepatocellular carcinoma,D10381922.E4,Patients,C0030705,humn,patients
D10381922.P2,p53 mutations in british patients with hepatocellular carcinoma: clustering in       genetic hemochromatosis.,LOCATION_OF,PREP,in ,D10381922.E4,Patients,C0030705,humn,patients,D10381922.E1,TP53 gene,7157,aapp,p53
D10381922.P3,p53 mutations in british patients with hepatocellular carcinoma: clustering in       genetic hemochromatosis.,ASSOCIATED_WITH,PREP,in ,D10381922.E1,TP53 gene,7157,gngm,p53,D10381922.E6,Hereditary hemochromatosis,C0392514,dsyn,genetic hemochromatosis
D10381922.P4,Aflatoxin B1 causes a specific point mutation in        the p53 tumor-suppressor gene in exposed individuals.,CAUSES,VERB,causes ,D10381922.E12,Aflatoxin B1,C0085180,hops,Aflatoxin B1,D10381922.E13,Point Mutation,C0162735,comd,point mutation
D10381922.P5,Aflatoxin B1 causes a specific point mutation in        the p53 tumor-suppressor gene in exposed individuals.,PROCESS_OF,PREP,in ,D10381922.E13,Point Mutation,C0162735,comd,point mutation,D10381922.E16,Persons,C0027361,humn,individuals
D10381922.P6,We have investigated the role of       p53 mutations in tumorigenesis in British patients with HCC.,PROCESS_OF,PREP,with ,D10381922.E27,Liver carcinoma,C2239176,neop,HCC,D10381922.E26,Patients,C0030705,humn,patients
D10381922.P7,We have investigated the role of       p53 mutations in tumorigenesis in British patients with HCC.,ASSOCIATED_WITH,NOM,role ,D10381922.E22,TP53 gene,7157,gngm,p53,D10381922.E24,Neoplastic Cell Transformation,C0007621,neop,tumorigenesis
D10381922.P8,The aim of this       study was to determine the frequency and mutational spectrum of the p53 gene in       HCCs from British patients.,LOCATION_OF,PREP,from ,D10381922.E36,Patients,C0030705,humn,patients,D10381922.E34,HCCS gene,3052,aapp,HCCs
D10381922.P9,The aim of this       study was to determine the frequency and mutational spectrum of the p53 gene in       HCCs from British patients.,COEXISTS_WITH,PREP,in ,D10381922.E33,TP53 gene,7157,gngm,p53 gene,D10381922.E34,HCCS gene,3052,gngm,HCCs
D10381922.P10,"METHODS: DNA from 170 HCCs, of well-defined etiology,       in British patients was analyzed by single-stranded conformational polymorphism       using the polymerase chain reaction technique.",LOCATION_OF,PREP,in ,D10381922.E43,Patients,C0030705,humn,patients,D10381922.E39,HCCS gene,3052,aapp,HCCs
D10381922.P12,CONCLUSIONS: p53 mutations are more common than was thought in Northern European        HCCs.,PART_OF,MOD_HEAD,Northern European        HCCs.,D10381922.E75,HCCS gene,3052,gngm,HCCs,D10381922.E74,Northern European,C0239310,humn,Northern European
D10381922.P13,CONCLUSIONS: p53 mutations are more common than was thought in Northern European        HCCs.,compared_with,PREP,than ,D10381922.E70,TP53 gene,7157,gngm,p53,D10381922.E75,HCCS gene,3052,gngm,HCCs
D10381922.P14,CONCLUSIONS: p53 mutations are more common than was thought in Northern European        HCCs.,higher_than,PREP,than ,D10381922.E70,TP53 gene,7157,gngm,p53,D10381922.E75,HCCS gene,3052,gngm,HCCs
D10383909.P1,Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.,INTERACTS_WITH,INFER,induced ,D10383909.E4,3-nitrotyrosine,C0047645,aapp,3-nitrotyrosine,D10383909.E6,Diethylnitrosamine,C0012200,hops,N-nitrosodiethylamine
D10383909.P2,Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.,INTERACTS_WITH,INFER,induced ,D10383909.E3,"NOS2A protein, human",4843,aapp,inducible nitric oxide synthase,D10383909.E6,Diethylnitrosamine,C0012200,hops,N-nitrosodiethylamine
D10383909.P3,Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.,CAUSES,VERB,induced ,D10383909.E6,Diethylnitrosamine,C0012200,hops,N-nitrosodiethylamine,D10383909.E5,Rat Hepatic Neoplasm,C1882693,neop,rat liver tumors
D10383909.P4,Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.,ASSOCIATED_WITH,PREP,in ,D10383909.E4,3-nitrotyrosine,C0047645,aapp,3-nitrotyrosine,D10383909.E5,Rat Hepatic Neoplasm,C1882693,neop,rat liver tumors
D10383909.P5,Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.,ASSOCIATED_WITH,PREP,in ,D10383909.E3,"NOS2A protein, human",4843,aapp,inducible nitric oxide synthase,D10383909.E5,Rat Hepatic Neoplasm,C1882693,neop,rat liver tumors
D10383909.P6,Human liver cancers have been associated mainly with chronic inflammations such       as viral hepatitis B or C.,COEXISTS_WITH,INFER,chronic inflammations such       as viral hepatitis B ,D10383909.E10,Hepatitis B,C0019163,dsyn,viral hepatitis B,D10383909.E8,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,liver cancers
D10383909.P7,Human liver cancers have been associated mainly with chronic inflammations such       as viral hepatitis B or C.,ISA,SPEC,chronic inflammations such       as viral hepatitis B ,D10383909.E10,Hepatitis B,C0019163,dsyn,viral hepatitis B,D10383909.E9,Chronic inflammation,C0021376,patf,chronic inflammations
D10383909.P8,Human liver cancers have been associated mainly with chronic inflammations such       as viral hepatitis B or C.,PROCESS_OF,MOD_HEAD,Human liver cancers ,D10383909.E8,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,liver cancers,D10383909.E7,Homo sapiens,C0086418,humn,Human
D10383909.P9,Human liver cancers have been associated mainly with chronic inflammations such       as viral hepatitis B or C.,COEXISTS_WITH,VERB,associated ,D10383909.E9,Chronic inflammation,C0021376,patf,chronic inflammations,D10383909.E8,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,liver cancers
D10383909.P10,This suggests that prolonged cell damage by chronic       inflammation is critical in cancer development.,COEXISTS_WITH,PREP,in ,D10383909.E13,Chronic inflammation,C0021376,patf,chronic       inflammation,D10383909.E15,Malignant Neoplasms,C0006826,neop,cancer
D10383909.P11,"and its derivative (NOx, peroxynitrite) has been implicated as a cause of       tissue damage by inflammation, thus contributing to tumor promotion.",PREDISPOSES,VERB,contributing ,D10383909.E22,Inflammation,C0021368,patf,inflammation,D10383909.E23,Tumor Promotion,C1519689,neop,tumor promotion
D10383909.P12,"We have       demonstrated the expression of the inducible isoform of nitric oxide synthase       (iNOS) and 3-nitrotyrosine, a marker of peroxynitrite formation, by       immunohistochemistry in preneoplastic and neoplastic rat liver tissues induced by       continuous infusion of N-nitrosodiethylamine with mini-pumps.",STIMULATES,VERB,induced ,D10383909.E28,Peroxynitrite,C0136157,bacs,peroxynitrite,D10383909.E34,Diethylnitrosamine,C0012200,hops,N-nitrosodiethylamine
D10383909.P13,"Histologically, the tumors       were hepatocellular carcinomas (HCCs) of trabecular, (pseudo)glandular and solid        types with or without cholangiocellular involvement.",ISA,SPEC,tumors       were hepatocellular carcinomas ,D10383909.E46,Liver carcinoma,C2239176,neop,hepatocellular carcinomas,D10383909.E45,Neoplasms,C0027651,neop,tumors
D10383909.P14,"Histologically, the tumors       were hepatocellular carcinomas (HCCs) of trabecular, (pseudo)glandular and solid        types with or without cholangiocellular involvement.",PART_OF,PREP,of ,D10383909.E46,Liver carcinoma,C2239176,neop,hepatocellular carcinomas,D10383909.E47,Trabecular substance of bone,C0222660,tisu,trabecular
D10383909.P15,"iNOS was located mainly in       oval cells, capillary endothelial and muscular cells, epithelia of cholangiomas       and glandular HCCs.",PART_OF,PREP,of ,D10383909.E58,Epithelium,C0014609,tisu,epithelia,D10383909.E59,Bile duct adenoma,C0008309,neop,cholangiomas
D10383909.P16,"iNOS was located mainly in       oval cells, capillary endothelial and muscular cells, epithelia of cholangiomas       and glandular HCCs.",PART_OF,PREP,of ,D10383909.E58,Epithelium,C0014609,tisu,epithelia,D10383909.E61,Liver carcinoma,C2239176,neop,HCCs
D10383909.P17,"iNOS was located mainly in       oval cells, capillary endothelial and muscular cells, epithelia of cholangiomas       and glandular HCCs.",LOCATION_OF,PREP,in ,D10383909.E57,Muscle Cells,C0596981,cell,muscular cells,D10383909.E53,"NOS2A protein, human",4843,aapp,iNOS
D10383909.P18,"iNOS was located mainly in       oval cells, capillary endothelial and muscular cells, epithelia of cholangiomas       and glandular HCCs.",LOCATION_OF,PREP,in ,D10383909.E54,oval cell,C0872357,cell,oval cells,D10383909.E53,"NOS2A protein, human",4843,aapp,iNOS
D10383909.P19,"3-Nitrotyrosine was observed in the cytoplasms of PAHF and       dysplastic hepatocytes in preneoplasias and in the cytoplasms of some living or       apoptotic HCC cells, connective tissues, proteinaceous fluids, sinusoidal       endothelia of tumorous hepatocytes and cholangiomas in tumors.",COEXISTS_WITH,PREP,in ,D10383909.E79,Bile duct adenoma,C0008309,neop,cholangiomas,D10383909.E80,Neoplasms,C0027651,neop,tumors
D10383909.P20,"3-Nitrotyrosine was observed in the cytoplasms of PAHF and       dysplastic hepatocytes in preneoplasias and in the cytoplasms of some living or       apoptotic HCC cells, connective tissues, proteinaceous fluids, sinusoidal       endothelia of tumorous hepatocytes and cholangiomas in tumors.",LOCATION_OF,PREP,in ,D10383909.E63,Cytoplasm,C0010834,celc,cytoplasms,D10383909.E62,3-nitrotyrosine,C0047645,aapp,3-Nitrotyrosine
D10383909.P21,"3-Nitrotyrosine was observed in the cytoplasms of PAHF and       dysplastic hepatocytes in preneoplasias and in the cytoplasms of some living or       apoptotic HCC cells, connective tissues, proteinaceous fluids, sinusoidal       endothelia of tumorous hepatocytes and cholangiomas in tumors.",LOCATION_OF,PREP,in ,D10383909.E67,Hepatocyte,C0227525,cell,hepatocytes,D10383909.E62,3-nitrotyrosine,C0047645,aapp,3-Nitrotyrosine
D10383909.P22,"From these       observations, we suggest that: (i) chronic tissue damage by chemical carcinogens        may act to induce iNOS and peroxynitrite formation; (ii) oval cells play a key       role in development and/or growth of tumor tissues by producing NO.",PART_OF,MOD_HEAD,tumor tissues ,D10383909.E93,Body tissue,C0040300,tisu,tissues,D10383909.E92,Neoplasms,C0027651,neop,tumor
D10383909.P23,"From these       observations, we suggest that: (i) chronic tissue damage by chemical carcinogens        may act to induce iNOS and peroxynitrite formation; (ii) oval cells play a key       role in development and/or growth of tumor tissues by producing NO.",STIMULATES,VERB,induce ,D10383909.E84,Carcinogens,C0007090,hops,chemical carcinogens,D10383909.E87,Peroxynitrite,C0136157,bacs,peroxynitrite
D10383909.P24,"From these       observations, we suggest that: (i) chronic tissue damage by chemical carcinogens        may act to induce iNOS and peroxynitrite formation; (ii) oval cells play a key       role in development and/or growth of tumor tissues by producing NO.",STIMULATES,VERB,induce ,D10383909.E84,Carcinogens,C0007090,hops,chemical carcinogens,D10383909.E86,"NOS2A protein, human",4843,gngm,iNOS
D10383909.P25,"via iNOS,       which may also cause tissue damage by peroxynitrite; (iii) iNOS can be considered       as a phenotypic marker in cells of oval cell lineage and neovascularized       capillaries in tumor tissues.",PART_OF,MOD_HEAD,tumor tissues.,D10383909.E108,Body tissue,C0040300,tisu,tissues,D10383909.E107,Neoplasms,C0027651,neop,tumor
D10383909.P26,"via iNOS,       which may also cause tissue damage by peroxynitrite; (iii) iNOS can be considered       as a phenotypic marker in cells of oval cell lineage and neovascularized       capillaries in tumor tissues.",CAUSES,VERB,cause ,D10383909.E96,"NOS2A protein, human",4843,aapp,iNOS,D10383909.E97,Tissue damage,C0010957,inpo,tissue damage
D10383909.P27,"via iNOS,       which may also cause tissue damage by peroxynitrite; (iii) iNOS can be considered       as a phenotypic marker in cells of oval cell lineage and neovascularized       capillaries in tumor tissues.",LOCATION_OF,PREP,in ,D10383909.E102,Cells,C0007634,cell,cells,D10383909.E100,"NOS2A protein, human",4843,aapp,iNOS
D10383909.P28,"via iNOS,       which may also cause tissue damage by peroxynitrite; (iii) iNOS can be considered       as a phenotypic marker in cells of oval cell lineage and neovascularized       capillaries in tumor tissues.",LOCATION_OF,PREP,in ,D10383909.E106,Capillary vessel,C0935624,bpoc,capillaries,D10383909.E100,"NOS2A protein, human",4843,aapp,iNOS
D10385405.P1,Interruption of activin A autocrine regulation by antisense oligodeoxynucleotides       accelerates liver tumor cell proliferation.,AFFECTS,NOM,regulation ,D10385405.E5,Oligodeoxyribonucleotides,C0028948,nnon,oligodeoxynucleotides,D10385405.E3,autocrine,C0596138,ortf,autocrine
D10385405.P2,"Administration of activin A, a member of the transforming growth factor-beta       superfamily inhibits hepatocyte proliferation in vitro and reduces liver mass in        vivo.",DISRUPTS,VERB,inhibits ,D10385405.E10,Transforming Growth Factor beta,C0040690,aapp,transforming growth factor-beta       superfamily,D10385405.E11,hepatocyte proliferation,C3156633,celf,hepatocyte proliferation
D10385405.P3,"Administration of activin A, a member of the transforming growth factor-beta       superfamily inhibits hepatocyte proliferation in vitro and reduces liver mass in        vivo.",PREVENTS,VERB,reduces ,D10385405.E8,activin A,C0100748,horm,activin A,D10385405.E13,Liver mass,C0240225,dsyn,liver mass
D10385405.P4,"However, a role of endogenous activin A in local growth modulation has not        been established in any system.",AFFECTS,NOM,role ,D10385405.E16,activin A,C0100748,aapp,activin A,D10385405.E18,Growth,C0018270,orgf,growth
D10385405.P5,The aim of this study was to examine the       production of activin A in the human hepatoma cell line HLF and to explore a       possible autocrine role of activin as a cell growth inhibitor by blocking       production of endogenous activin using antisense oligodeoxynucleotides.,PART_OF,MOD_HEAD,human hepatoma cell line HLF ,D10385405.E28,"endothelial PAS domain protein 1, human",3131,aapp,HLF,D10385405.E27,human cell line,C0682523,cell,human hepatoma cell line
D10385405.P6,The aim of this study was to examine the       production of activin A in the human hepatoma cell line HLF and to explore a       possible autocrine role of activin as a cell growth inhibitor by blocking       production of endogenous activin using antisense oligodeoxynucleotides.,COEXISTS_WITH,PREP,in ,D10385405.E25,activin A,C0100748,aapp,activin A,D10385405.E28,"endothelial PAS domain protein 1, human",3131,gngm,HLF
D10385405.P7,The aim of this study was to examine the       production of activin A in the human hepatoma cell line HLF and to explore a       possible autocrine role of activin as a cell growth inhibitor by blocking       production of endogenous activin using antisense oligodeoxynucleotides.,AFFECTS,NOM,role ,D10385405.E22,Aim,C2948600,phsu,aim,D10385405.E30,autocrine,C0596138,ortf,autocrine
D10385405.P8,"Administration of exogenous activin A suppressed HLF cell growth, and       immunoreactive activin A was shown to be produced in the cells at confluency by       Western blotting analysis.",LOCATION_OF,PREP,in ,D10385405.E44,Cells,C0007634,cell,cells,D10385405.E43,activin A,C0100748,aapp,activin A
D10385645.P1,Expression and function of CXC and CC chemokines in human malignant liver tumors:       a role for human monokine induced by gamma-interferon in lymphocyte recruitment       to hepatocellular carcinoma.,PROCESS_OF,MOD_HEAD,human malignant liver tumors:,D10385645.E4,Malignant neoplasm of liver,C0345904,neop,malignant liver tumors,D10385645.E3,Homo sapiens,C0086418,humn,human
D10385645.P2,Expression and function of CXC and CC chemokines in human malignant liver tumors:       a role for human monokine induced by gamma-interferon in lymphocyte recruitment       to hepatocellular carcinoma.,ASSOCIATED_WITH,PREP,in ,D10385645.E2,beta-Chemokines,C0282552,aapp,CC chemokines,D10385645.E4,Malignant neoplasm of liver,C0345904,neop,malignant liver tumors
D10385645.P3,Chemotactic cytokines (chemokines) play an important role in the recruitment of       lymphocytes to tissue by regulating cellular adhesion and transendothelial       migration.,AFFECTS,VERB,regulating ,D10385645.E9,chemokine,C0282554,aapp,Chemotactic cytokines,D10385645.E12,Cell Adhesion,C0007577,celf,cellular adhesion
D10385645.P4,Chemotactic cytokines (chemokines) play an important role in the recruitment of       lymphocytes to tissue by regulating cellular adhesion and transendothelial       migration.,AFFECTS,VERB,regulating ,D10385645.E9,chemokine,C0282554,aapp,Chemotactic cytokines,D10385645.E13,Transendothelial Migration,C2936223,ortf,transendothelial       migration
D10385645.P5,"This study examined the expression and function of CXC (human monokine       induced by gamma-interferon [HuMig], interleukin-8 [IL-8], and       interferon-inducible protein-10 [IP-10]) and CC (macrophage inflammatory       protein-1alpha [MIP-1alpha], MIP-1beta, regulated upon activation normal T       lymphocyte expressed and secreted (RANTES), and macrophage chemoattractant       protein-1 [MCP-1]) chemokines and their respective receptors on lymphocytes       infiltrating human liver tumors.",PROCESS_OF,MOD_HEAD,human liver tumors.,D10385645.E31,Liver neoplasms,C0023903,neop,liver tumors,D10385645.E30,Homo sapiens,C0086418,humn,human
D10385645.P6,"This study examined the expression and function of CXC (human monokine       induced by gamma-interferon [HuMig], interleukin-8 [IL-8], and       interferon-inducible protein-10 [IP-10]) and CC (macrophage inflammatory       protein-1alpha [MIP-1alpha], MIP-1beta, regulated upon activation normal T       lymphocyte expressed and secreted (RANTES), and macrophage chemoattractant       protein-1 [MCP-1]) chemokines and their respective receptors on lymphocytes       infiltrating human liver tumors.",LOCATION_OF,PREP,on ,D10385645.E29,Lymphocyte,C0024264,cell,lymphocytes,D10385645.E27,chemokine,C0282554,aapp,chemokines
D10385645.P7,"This study examined the expression and function of CXC (human monokine       induced by gamma-interferon [HuMig], interleukin-8 [IL-8], and       interferon-inducible protein-10 [IP-10]) and CC (macrophage inflammatory       protein-1alpha [MIP-1alpha], MIP-1beta, regulated upon activation normal T       lymphocyte expressed and secreted (RANTES), and macrophage chemoattractant       protein-1 [MCP-1]) chemokines and their respective receptors on lymphocytes       infiltrating human liver tumors.",AFFECTS,VERB,regulated ,D10385645.E21,Chemokine (C-C Motif) Ligand 4,C0209338,aapp,MIP-1beta,D10385645.E23,T-Lymphocyte,C0039194,cell,T       lymphocyte
D10385645.P8,"Chemokine and chemokine receptor expression was        assessed by immunohistochemistry, flow cytometry, in situ hybridization and       ribonuclease (RNAse) protection assays and function by in vitro chemotaxis of       tumor-derived lymphocytes to purified chemokines and to HepG2 tumor cell culture        supernatants.",INTERACTS_WITH,NOM,protection ,D10385645.E44,allogeneic lymphocytes,C0879438,imft,tumor-derived lymphocytes,D10385645.E38,Ribonucleases,C0035542,aapp,ribonuclease
D10385645.P9,"Tumor-derived lymphocytes showed strong chemotactic responses to       both CC and CXC chemokines in vitro and expressed high levels of CXCR3 (HuMig and       IP-10 receptor) and CCR5 (RANTES, MIP-1alpha, and MIP-1beta receptor).",INTERACTS_WITH,ADJ,expressed ,D10385645.E55,CXC Chemokines,C0282553,aapp,CXC chemokines,D10385645.E58,Chemokine (C-X-C Motif) Receptor 3,2833,aapp,CXCR3
D10385645.P10,"The corresponding chemokines were detected on vascular endothelium (HuMig, IL-8,        MIP-1alpha, and MIP-1beta) and sinusoidal endothelium (HuMig, MIP-1alpha,       MIP-1beta) in hepatocellular carcinoma.",LOCATION_OF,PREP,on ,D10385645.E74,"Endothelium, Vascular",C0014261,tisu,vascular endothelium,D10385645.E73,chemokine,C0282554,aapp,chemokines
D10385645.P11,"The corresponding chemokines were detected on vascular endothelium (HuMig, IL-8,        MIP-1alpha, and MIP-1beta) and sinusoidal endothelium (HuMig, MIP-1alpha,       MIP-1beta) in hepatocellular carcinoma.",LOCATION_OF,PREP,on ,D10385645.E80,Endothelium of sinusoid,C1179028,tisu,sinusoidal endothelium,D10385645.E73,chemokine,C0282554,aapp,chemokines
D10385645.P12,"In vitro, HepG2 cells secreted functional       chemotactic factors for tumor-derived lymphocytes that could be inhibited using       anti-CCR5 or anti-CXCR3 monoclonal antibodies (MoAbs).",PRODUCES,VERB,secreted ,D10385645.E87,Hep G2 Cells,C2717940,cell,HepG2 cells,D10385645.E89,Chemotactic Factors,C0008013,bacs,chemotactic factors
D10385645.P13,"Thus, lymphocytes       infiltrating human liver tumors express receptors for and respond to both CXC and       CC chemokines.",PROCESS_OF,MOD_HEAD,human liver tumors ,D10385645.E97,Liver neoplasms,C0023903,neop,liver tumors,D10385645.E96,Homo sapiens,C0086418,humn,human
D10385645.P14,"Thus, lymphocytes       infiltrating human liver tumors express receptors for and respond to both CXC and       CC chemokines.",PRODUCES,VERB,express ,D10385645.E97,Liver neoplasms,C0023903,neop,liver tumors,D10385645.E98,receptor,C0597357,aapp,receptors
D10385645.P15,"The relevant chemokine ligands are expressed in hepatocellular       carcinoma (HCC), particularly HuMig, which was strongly expressed by tumor       endothelium, suggesting that they play a role in lymphocyte recruitment to these        tumors in vivo.",PART_OF,MOD_HEAD,"tumor       endothelium,",D10385645.E107,Endothelium,C0014257,tisu,endothelium,D10385645.E106,Neoplasms,C0027651,neop,tumor
D10385645.P16,"The relevant chemokine ligands are expressed in hepatocellular       carcinoma (HCC), particularly HuMig, which was strongly expressed by tumor       endothelium, suggesting that they play a role in lymphocyte recruitment to these        tumors in vivo.",PART_OF,VERB,expressed ,D10385645.E101,chemokine,C0282554,gngm,chemokine,D10385645.E103,Liver carcinoma,C2239176,neop,hepatocellular       carcinoma
D10385645.P17,"The relevant chemokine ligands are expressed in hepatocellular       carcinoma (HCC), particularly HuMig, which was strongly expressed by tumor       endothelium, suggesting that they play a role in lymphocyte recruitment to these        tumors in vivo.",PRODUCES,VERB,expressed ,D10385645.E107,Endothelium,C0014257,tisu,endothelium,D10385645.E105,Small Inducible Cytokine B9,C1335989,aapp,HuMig
D10385645.P18,The ability of HepG2 cells to secrete lymphocyte chemotactic       factors in vitro suggests that the tumor contributes to lymphocyte recruitment in       vivo.,PRODUCES,VERB,secrete ,D10385645.E112,Hep G2 Cells,C2717940,cell,HepG2 cells,D10385645.E113,Lymphocyte chemotactic factor,C0065349,aapp,lymphocyte chemotactic       factors
D10389981.P1,"Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.",ASSOCIATED_WITH,PREP,in ,D10389981.E2,MDM2 gene,4193,gngm,MDM2,D10389981.E5,Liver carcinoma,C2239176,neop,hepatocellular       carcinoma
D10389981.P2,"Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.",ASSOCIATED_WITH,PREP,in ,D10389981.E4,FHIT gene,2272,gngm,FHIT,D10389981.E6,Focal Nodular Hyperplasia,C0333980,dsyn,focal nodular hyperplasia
D10389981.P3,"Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.",ASSOCIATED_WITH,PREP,in ,D10389981.E4,FHIT gene,2272,gngm,FHIT,D10389981.E5,Liver carcinoma,C2239176,neop,hepatocellular       carcinoma
