,S_name,O_name,label,title,from,to,arrows,color,id
66,chemokine,Transendothelial Migration,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385645' target='_blank'>Chemotactic cytokines (chemokines) play an important role in the recruitment of       lymphocytes to tissue by regulating cellular adhesion and transendothelial       migration.</br></a><font color='red'>Chemotactic cytokines</font> <font color='blue'>regulating </font> <font color='green'>transendothelial       migration</font></p>,43,161,to,VERB,65
67,Chemokine (C-C Motif) Ligand 4,T-Lymphocyte,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385645' target='_blank'>This study examined the expression and function of CXC (human monokine       induced by gamma-interferon [HuMig], interleukin-8 [IL-8], and       interferon-inducible protein-10 [IP-10]) and CC (macrophage inflammatory       protein-1alpha [MIP-1alpha], MIP-1beta, regulated upon activation normal T       lymphocyte expressed and secreted (RANTES), and macrophage chemoattractant       protein-1 [MCP-1]) chemokines and their respective receptors on lymphocytes       infiltrating human liver tumors.</br></a><font color='red'>MIP-1beta</font> <font color='blue'>regulated </font> <font color='green'>T       lymphocyte</font></p>",44,162,to,VERB,66
68,MDM2 gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>MDM2</font> <font color='blue'>in </font> <font color='green'>hepatocellular       carcinoma</font></p>",45,106,to,PREP,67
69,FHIT gene,Focal Nodular Hyperplasia,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>FHIT</font> <font color='blue'>in </font> <font color='green'>focal nodular hyperplasia</font></p>",46,163,to,PREP,68
70,FHIT gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>FHIT</font> <font color='blue'>in </font> <font color='green'>hepatocellular       carcinoma</font></p>",46,106,to,PREP,69
71,GAGE1 wt Allele,Focal Nodular Hyperplasia,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>GAGE-1</font> <font color='blue'>in </font> <font color='green'>focal nodular hyperplasia</font></p>",47,163,to,PREP,70
72,GAGE1 wt Allele,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>GAGE-1</font> <font color='blue'>in </font> <font color='green'>hepatocellular       carcinoma</font></p>",47,106,to,PREP,71
73,MDM2 gene,Focal Nodular Hyperplasia,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different gene expression of MDM2, GAGE-1, -2 and FHIT in hepatocellular       carcinoma and focal nodular hyperplasia.</br></a><font color='red'>MDM2</font> <font color='blue'>in </font> <font color='green'>focal nodular hyperplasia</font></p>",45,163,to,PREP,72
74,Tumor Suppressor Genes,Malignant Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Overexpression and/or mutations of oncogenes, tumour suppressor genes and tumour        rejection genes have been observed in several human malignancies.</br></a><font color='red'>tumour suppressor genes</font> <font color='blue'>in </font> <font color='green'>malignancies</font></p>",13,81,to,PREP,73
75,"Genes, Neoplasm",Malignant Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Overexpression and/or mutations of oncogenes, tumour suppressor genes and tumour        rejection genes have been observed in several human malignancies.</br></a><font color='red'>tumour rejection genes</font> <font color='blue'>in </font> <font color='green'>malignancies</font></p>",48,81,to,PREP,74
76,Exons,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Different patterns of non-mutant FHIT transcripts including precise deletion of       exons were found in 7/10 HCC, 2/10 FNH and 2/10 HC.</br></a><font color='red'>exons</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",49,106,to,PREP,75
77,GAGE1 wt Allele,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>However, expression of       non-mutant GAGE-1, -2 RNA was demonstrated exclusively in 6/10 HCC samples.</br></a><font color='red'>GAGE-1</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",47,106,to,PREP,76
78,MDM2 gene,Focal Nodular Hyperplasia,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Neither GAGE-1, -2 expression nor MDM2       mutations were observed in the FNH samples, or in normal hepatocytes.</br></a><font color='red'>MDM2</font> <font color='blue'>in </font> <font color='green'>FNH</font></p>",45,163,to,PREP,77
79,GAGE1 wt Allele,Focal Nodular Hyperplasia,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10389981' target='_blank'>Neither GAGE-1, -2 expression nor MDM2       mutations were observed in the FNH samples, or in normal hepatocytes.</br></a><font color='red'>GAGE-1</font> <font color='blue'>in </font> <font color='green'>FNH</font></p>",47,163,to,PREP,78
80,HPSE gene,Neoplasm Metastasis,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10395325' target='_blank'>This       represents the first cloned mammalian heparanase, to our knowledge, and provides        direct evidence for its role in tumor metastasis.</br></a><font color='red'>heparanase</font> <font color='blue'>role </font> <font color='green'>tumor metastasis</font></p>",50,164,to,NOM,79
81,gene therapy,Liver carcinoma,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10395376' target='_blank'>To improve the efficacy and selectivity of gene therapy for hepatocellular       carcinoma (HCC), we designed a strategy for suicide gene therapy in conjunction       with radiation therapy using an HVJ-liposome vector system.</br></a><font color='red'>gene therapy</font> <font color='blue'>for </font> <font color='green'>hepatocellular       carcinoma</font></p>",51,106,to,PREP,80
82,Immunotherapy,Liver carcinoma,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10397245' target='_blank'>Alpha-fetoprotein-specific genetic immunotherapy for hepatocellular carcinoma.</br></a><font color='red'>immunotherapy</font> <font color='blue'>for </font> <font color='green'>hepatocellular carcinoma</font></p>,52,106,to,PREP,81
83,gene therapy,Disease,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10397245' target='_blank'>This provides a rational, gene therapy-based       strategy for this disease, which is responsible for the largest number of       cancer-related deaths worldwide.</br></a><font color='red'>gene therapy</font> <font color='blue'>for </font> <font color='green'>disease</font></p>",51,165,to,PREP,82
84,CYP1A1 gene,"Hepatitis B, Chronic",ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10408872' target='_blank'>Cytochrome P450 1A1 genetic polymorphisms and risk of hepatocellular carcinoma       among chronic hepatitis B carriers.</br></a><font color='red'>Cytochrome P450 1A1 genetic</font> <font color='blue'>carriers.</font> <font color='green'>chronic hepatitis B</font></p>,53,166,to,NOM,83
85,"CYP1A1 protein, human","Hepatitis B, Chronic",ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10408872' target='_blank'>Genotypic variants of CYP1A1 were determined       using polymerase chain reaction in 81 incident cases of HCC and 409 controls       nested in a cohort study of 4841 male chronic HBV carriers.</br></a><font color='red'>CYP1A1</font> <font color='blue'>carriers.</font> <font color='green'>chronic HBV</font></p>,54,166,to,NOM,84
86,TMPRSS13 gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10408872' target='_blank'>In the absence of the Ile-Val variant allele, the Mspl       polymorphism was still associated with smoking-related HCC.</br></a><font color='red'>Mspl</font> <font color='blue'>associated </font> <font color='green'>HCC</font></p>",55,106,to,VERB,85
87,FOXD3 gene,Hepatocarcinogenesis,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10411141' target='_blank'>An albumin-simian virus 40 (SV40) large T-antigen (T-Ag) transgenic model and a       chemically induced model of multistage hepatocarcinogenesis were created in our       laboratory to study the molecular mechanisms involved in the genesis and       progression of neoplasia in the rat liver.</br></a><font color='red'>genesis</font> <font color='blue'>involved </font> <font color='green'>hepatocarcinogenesis</font></p>,56,1,to,VERB,86
88,Tumor Suppressor Genes,Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10411141' target='_blank'>In the study presented here, these two       models of rat hepatocarcinogenesis were used to perform a comparative mutational        analysis of three tumor suppressor genes involved in hepatic neoplastic growth.</br></a><font color='red'>tumor suppressor genes</font> <font color='blue'>involved </font> <font color='green'>neoplastic growth</font></p>",13,167,to,VERB,87
89,Open Reading Frames,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10411141' target='_blank'>The latter is       homologous to the human M6P/IGF2r coding sequence which is mutated in human       hepatocellular carcinoma.</br></a><font color='red'>coding sequence</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,57,106,to,PREP,88
90,APC gene,Tumorigenicity,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10411141' target='_blank'>A complete single strand conformation polymorphism       analysis of the entire coding region of the rat adenomatous polyposis coli (Apc)        gene was also performed for the first time in rat tumorigenic samples.</br></a><font color='red'>adenomatous polyposis coli</font> <font color='blue'>in </font> <font color='green'>tumorigenic</font></p>,12,168,to,PREP,89
91,Carcinoembryonic Antigen,Secondary malignant neoplasm of liver,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>Involvement of circulating CEA in liver metastases from colorectal cancers       re-examined in a new experimental model.</br></a><font color='red'>CEA</font> <font color='blue'>in </font> <font color='green'>liver metastases</font></p>,58,169,to,PREP,90
92,Carcinoembryonic Antigen,Facilitation,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>For this reason, we       developed a new experimental model to evaluate the possible role of circulating       CEA in the facilitation of liver metastases.</br></a><font color='red'>CEA</font> <font color='blue'>role </font> <font color='green'>facilitation</font></p>",58,170,to,NOM,91
93,"DNA, Complementary",Anabolism,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>A CEA-negative subclone from the       human colon carcinoma cell line CO115 was transfected either with CEA-cDNA       truncated at its 3' end by the deletion of 78 base pairs leading to the synthesis       of a secreted form of CEA or with a full-length CEA-cDNA leading to the synthesis       of the entire CEA molecule linked to the cell surface by a GPI anchor.</br></a><font color='red'>cDNA</font> <font color='blue'>leading </font> <font color='green'>synthesis</font></p>,59,171,to,VERB,92
94,"DNA, Complementary",Anabolism,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>A CEA-negative subclone from the       human colon carcinoma cell line CO115 was transfected either with CEA-cDNA       truncated at its 3' end by the deletion of 78 base pairs leading to the synthesis       of a secreted form of CEA or with a full-length CEA-cDNA leading to the synthesis       of the entire CEA molecule linked to the cell surface by a GPI anchor.</br></a><font color='red'>cDNA</font> <font color='blue'>leading </font> <font color='green'>synthesis</font></p>,59,171,to,VERB,93
95,"DNA, Complementary",Anabolism,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>A CEA-negative subclone from the       human colon carcinoma cell line CO115 was transfected either with CEA-cDNA       truncated at its 3' end by the deletion of 78 base pairs leading to the synthesis       of a secreted form of CEA or with a full-length CEA-cDNA leading to the synthesis       of the entire CEA molecule linked to the cell surface by a GPI anchor.</br></a><font color='red'>cDNA</font> <font color='blue'>leading </font> <font color='green'>synthesis</font></p>,59,171,to,VERB,94
96,"DNA, Complementary",Anabolism,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10424738' target='_blank'>A CEA-negative subclone from the       human colon carcinoma cell line CO115 was transfected either with CEA-cDNA       truncated at its 3' end by the deletion of 78 base pairs leading to the synthesis       of a secreted form of CEA or with a full-length CEA-cDNA leading to the synthesis       of the entire CEA molecule linked to the cell surface by a GPI anchor.</br></a><font color='red'>cDNA</font> <font color='blue'>leading </font> <font color='green'>synthesis</font></p>,59,171,to,VERB,95
97,TSG101 gene,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10448275' target='_blank'>Analysis of aberrant transcription of TSG101 in hepatocellular carcinomas.</br></a><font color='red'>TSG101</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinomas</font></p>,60,106,to,PREP,96
98,TSG101 gene,Hepatocarcinogenesis,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10448275' target='_blank'>Our results suggest either that the TSG101       gene may not be involved in hepatocarcinogenesis or that it plays a role in the       development and/or progress of hepatocellular carcinomas through an unusual       mechanism.</br></a><font color='red'>TSG101       gene</font> <font color='blue'>involved </font> <font color='green'>hepatocarcinogenesis</font></p>,60,1,to,VERB,97
99,Osteonectin,"Fibrosis, Liver",ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10451487' target='_blank'>ON expression by myofibroblasts has been reported in fibrotic human        liver.</br></a><font color='red'>ON</font> <font color='blue'>in </font> <font color='green'>fibrotic human        liver</font></p>,61,172,to,PREP,98
100,Osteonectin,Fibrous bands,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10451487' target='_blank'>Large amounts of ON mRNA and protein were detected in the tumour       capsule, in the fibrous bands, and along capillaries within HCCs.</br></a><font color='red'>ON</font> <font color='blue'>in </font> <font color='green'>fibrous bands</font></p>",61,173,to,PREP,99
101,Proteins,Fibrous bands,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10451487' target='_blank'>Large amounts of ON mRNA and protein were detected in the tumour       capsule, in the fibrous bands, and along capillaries within HCCs.</br></a><font color='red'>protein</font> <font color='blue'>in </font> <font color='green'>fibrous bands</font></p>",62,173,to,PREP,100
102,SPARC gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10451487' target='_blank'>In HCC, ON protein was always detectable, with strong staining in        high-grade tumours, whereas it was mostly undetectable in non-tumour tissues.</br></a><font color='red'>ON</font> <font color='blue'>HCC, ON protein was always detectable, with strong staining in        high-grade tumours,</font> <font color='green'>HCC</font></p>",63,106,to,INFER,101
103,SPARC gene,Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10451487' target='_blank'>In HCC, ON protein was always detectable, with strong staining in        high-grade tumours, whereas it was mostly undetectable in non-tumour tissues.</br></a><font color='red'>ON</font> <font color='blue'>in </font> <font color='green'>tumours</font></p>",63,167,to,PREP,102
104,Ethanol Ablation Therapy,Patients,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10453948' target='_blank'>All patients were       treated with percutaneous ethanol injection therapy and/or transarterial       embolization during follow-up.</br></a><font color='red'>percutaneous ethanol injection</font> <font color='blue'>percutaneous ethanol injection therapy </font> <font color='green'>patients</font></p>,64,174,to,INFER,103
105,Therapeutic procedure,Patients,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10453948' target='_blank'>All patients were       treated with percutaneous ethanol injection therapy and/or transarterial       embolization during follow-up.</br></a><font color='red'>therapy</font> <font color='blue'>treated </font> <font color='green'>patients</font></p>,65,174,to,VERB,104
106,Therapeutic procedure,Patients,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10453948' target='_blank'>Cumulative metastasis-free survival and overall survival were       significantly better in the 24 patients whose AFP mRNA became negative after       treatment than in the 30 patients with persistently positive AFP mRNA (p= 0.0001        and p<0.0001, respectively).</br></a><font color='red'>treatment</font> <font color='blue'>in </font> <font color='green'>patients</font></p>",65,174,to,PREP,105
107,Epidermal Growth Factor Receptor,Chronic liver disease,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>Transforming growth factor-alpha and epidermal growth factor receptor in chronic        liver disease and hepatocellular carcinoma.</br></a><font color='red'>epidermal growth factor receptor</font> <font color='blue'>in </font> <font color='green'>chronic        liver disease</font></p>,66,175,to,PREP,106
108,Epidermal Growth Factor Receptor,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>Transforming growth factor-alpha and epidermal growth factor receptor in chronic        liver disease and hepatocellular carcinoma.</br></a><font color='red'>epidermal growth factor receptor</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,66,106,to,PREP,107
109,Transforming Growth Factor alpha,Chronic liver disease,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>Transforming growth factor-alpha and epidermal growth factor receptor in chronic        liver disease and hepatocellular carcinoma.</br></a><font color='red'>Transforming growth factor-alpha</font> <font color='blue'>in </font> <font color='green'>chronic        liver disease</font></p>,35,175,to,PREP,108
110,Transforming Growth Factor alpha,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>Transforming growth factor-alpha and epidermal growth factor receptor in chronic        liver disease and hepatocellular carcinoma.</br></a><font color='red'>Transforming growth factor-alpha</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,35,106,to,PREP,109
111,Transforming Growth Factor alpha,Hepatocarcinogenesis,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>In addition, TGF-alpha has been reported to       play a pivotal role in hepatocarcinogenesis.</br></a><font color='red'>TGF-alpha</font> <font color='blue'>play a pivotal role </font> <font color='green'>hepatocarcinogenesis</font></p>",35,1,to,COMPLEX,110
112,Transforming Growth Factor alpha,Chronic liver disease,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>To evaluate the significance of       TGF-alpha in chronic liver diseases and hepatocellular carcinoma, we examined       serum TGF-alpha, and expression of TGF-alpha, epidermal growth factor receptor       (EGFR) and proliferating cell nuclear antigen (PCNA) mRNA in liver tissues.</br></a><font color='red'>TGF-alpha</font> <font color='blue'>in </font> <font color='green'>chronic liver diseases</font></p>",35,175,to,PREP,111
113,Transforming Growth Factor alpha,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>To evaluate the significance of       TGF-alpha in chronic liver diseases and hepatocellular carcinoma, we examined       serum TGF-alpha, and expression of TGF-alpha, epidermal growth factor receptor       (EGFR) and proliferating cell nuclear antigen (PCNA) mRNA in liver tissues.</br></a><font color='red'>TGF-alpha</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>",35,106,to,PREP,112
114,Transforming Growth Factor alpha,Liver Cirrhosis,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10459631' target='_blank'>Serum TGF-alpha level in LC was higher than in other diseases (p<0.01, compared       to CH, HCC and C, respectively).</br></a><font color='red'>TGF-alpha</font> <font color='blue'>in </font> <font color='green'>LC</font></p>",35,176,to,PREP,113
115,TP53 gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10461064' target='_blank'>Amplification of c-myc in hepatocellular carcinoma: correlation with       clinicopathologic features, proliferative activity and p53 overexpression.</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>",4,106,to,PREP,114
116,MYC gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10461064' target='_blank'>Amplification of c-myc in hepatocellular carcinoma: correlation with       clinicopathologic features, proliferative activity and p53 overexpression.</br></a><font color='red'>c-myc</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>",67,106,to,PREP,115
117,Proto-Oncogene Proteins c-myc,Liver Regeneration,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10461064' target='_blank'>Expression of the proto-oncogene c-myc has been implicated in liver regeneration        and hepatocarcinogenesis.</br></a><font color='red'>proto-oncogene c-myc</font> <font color='blue'>implicated </font> <font color='green'>liver regeneration</font></p>,68,177,to,VERB,116
118,"RNA, Messenger",Neoplasms,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10463774' target='_blank'>The reverse transcription-polymerase chain reaction was used to compare the       expression of the secreted form of IL-1ra (sIL-1ra) and the intracellular form of       IL-1ra (icIL-1ra) mRNA in tumor and corresponding benign tissue obtained from 38        patients with gastric carcinoma.</br></a><font color='red'>mRNA</font> <font color='blue'>in </font> <font color='green'>tumor</font></p>,5,167,to,PREP,117
119,"IL1RN protein, human",Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10463774' target='_blank'>On the contrary, icIL-1ra mRNA was detected in all tumors and benign       tissues.</br></a><font color='red'>icIL-1ra</font> <font color='blue'>in </font> <font color='green'>tumors</font></p>",69,167,to,PREP,118
120,TP53 gene,Malignant Neoplasms,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10470182' target='_blank'>UNLABELLED: Mutations in the p53 gene are the most frequently reported somatic       gene alteration in human cancer.</br></a><font color='red'>p53 gene</font> <font color='blue'>in </font> <font color='green'>cancer</font></p>,4,81,to,PREP,119
121,TP53 gene,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10470182' target='_blank'>CONCLUSION: p53 and c-erb B2 seem to be valuable prognostic factors in HCC.</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>,4,106,to,PREP,120
122,"AFP protein, human",Liver carcinoma,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10476206' target='_blank'>Utilization of variant-type of human alpha-fetoprotein promoter in gene therapy       targeting for hepatocellular carcinoma.</br></a><font color='red'>human alpha-fetoprotein</font> <font color='blue'>for </font> <font color='green'>hepatocellular carcinoma</font></p>,70,106,to,PREP,121
123,Ganciclovir,cell growth,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10476206' target='_blank'>Consistent with this, LNAFM0.3TK infection could sensitize huH-1/cl.2       cells, as well as HuH-7 and PLC/PRF/5 cells to GCV, but did not affect cell       growth of nonhepatoma cells (HeLa).</br></a><font color='red'>GCV</font> <font color='blue'>affect </font> <font color='green'>cell       growth</font></p>",71,151,to,VERB,122
124,Hypoxia-Inducible Factor 1,energy homeostasis,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10477681' target='_blank'>The rate of transcription of several genes encoding proteins involved in O(2) and       energy homeostasis is controlled by hypoxia-inducible factor-1 (HIF-1), a       heterodimeric DNA binding complex composed of alpha and beta subunits.</br></a><font color='red'>hypoxia-inducible factor-1</font> <font color='blue'>controlled </font> <font color='green'>energy homeostasis</font></p>",72,178,to,VERB,123
125,SMAD4 gene,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10490821' target='_blank'>Smad2 and Smad4 gene mutations in hepatocellular carcinoma.</br></a><font color='red'>Smad4</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,29,106,to,PREP,124
126,SMAD2 gene,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10490821' target='_blank'>Smad2 and Smad4 gene mutations in hepatocellular carcinoma.</br></a><font color='red'>Smad2</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,30,106,to,PREP,125
127,Transforming Growth Factor beta,Growth,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10490821' target='_blank'>TGF-beta is a negative regulator of liver growth.</br></a><font color='red'>TGF-beta</font> <font color='blue'>regulator </font> <font color='green'>growth</font></p>,73,138,to,NOM,126
128,Candidate Tumor Suppressor Gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10490821' target='_blank'>Smad family of genes, as       mediators of TGF-beta pathway, are candidate tumor suppressor genes in       hepatocellular carcinoma (HCC).</br></a><font color='red'>candidate tumor suppressor genes</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>",2,106,to,PREP,127
129,Transforming Growth Factor beta,Liver carcinoma,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10490821' target='_blank'>These observation demonstrate        that TGF-beta pathway is altered in hepatocellular carcinoma.</br></a><font color='red'>TGF-beta</font> <font color='blue'>altered </font> <font color='green'>hepatocellular carcinoma</font></p>,73,106,to,VERB,128
130,Liver neoplasms,tumor growth,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10496524' target='_blank'>The       observed altered gene expression may be related to biological phenotypes of       hepatic tumors, and IL-1ra in particular may positively influence tumor cell       growth through its antagonism of IL-1.</br></a><font color='red'>hepatic tumors</font> <font color='blue'>influence </font> <font color='green'>tumor cell       growth</font></p>",74,179,to,VERB,129
131,Stimulation procedure,Cell Survival,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10498643' target='_blank'>In HepG2 cells, CD40 stimulation does not affect cell viability, but       significantly inhibited Fas and TNFR-mediated apoptosis in a dose-dependent       manner by blocking the activation of CPP32.</br></a><font color='red'>stimulation</font> <font color='blue'>affect </font> <font color='green'>cell viability</font></p>",75,180,to,VERB,130
132,Stimulation procedure,Apoptosis,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10498643' target='_blank'>In HepG2 cells, CD40 stimulation does not affect cell viability, but       significantly inhibited Fas and TNFR-mediated apoptosis in a dose-dependent       manner by blocking the activation of CPP32.</br></a><font color='red'>stimulation</font> <font color='blue'>affect </font> <font color='green'>apoptosis</font></p>",75,150,to,VERB,131
133,Heparan Sulfate Proteoglycans,Cell Communication,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10507762' target='_blank'>PR-39 is an endogenous proline-rich antimicrobial peptide which induces the       synthesis of syndecan-1, a transmembrane heparan sulphate proteoglycan involved       in cell-to-matrix interactions and wound healing.</br></a><font color='red'>heparan sulphate proteoglycan</font> <font color='blue'>involved </font> <font color='green'>cell-to-matrix interactions</font></p>",76,181,to,VERB,132
